                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.0393,                 1.5627,                0.67485,                0.94434,                0.59772,                0.38788,                0.42332,                 0.2929,                0.59581,                0.37411,                 0.4071,                0.25332,                0.99646,                  1.303,                0.63399,                0.86975,                0.00307,                0.00307,                0.00307
                     38,                 1.0404,                 1.5664,                0.67538,                 0.9446,                 0.5888,                 0.3889,                0.42375,                0.29292,                0.57991,                0.37989,                0.40791,                0.25377,                0.99616,                 1.3024,                0.63354,                0.86967,               0.002872,               0.002872,               0.002872
                     39,                  1.035,                 1.5569,                 0.6701,                0.94267,                0.59079,                 0.3897,                 0.4232,                0.29237,                0.57714,                 0.3808,                0.40779,                0.25322,                 0.9958,                 1.3021,                0.63289,                0.86955,               0.002674,               0.002674,               0.002674
                     40,                 1.0324,                 1.5554,                0.66903,                0.94193,                0.57896,                 0.3962,                0.42366,                0.29233,                 0.5627,                0.38728,                0.40759,                0.25357,                0.99534,                 1.3014,                0.63253,                0.86939,               0.002476,               0.002476,               0.002476
                     41,                 1.0618,                 1.5825,                0.68918,                  0.949,                0.57614,                0.40186,                0.42665,                0.29417,                0.57103,                 0.3877,                0.41024,                 0.2547,                0.99629,                    1.3,                0.63295,                0.87005,               0.002278,               0.002278,               0.002278
                     42,                 1.0471,                 1.5526,                 0.6752,                0.94445,                0.57727,                0.40001,                 0.4261,                0.29422,                0.56151,                0.39184,                0.41028,                 0.2545,                0.99607,                 1.2979,                0.63318,                0.86954,                0.00208,                0.00208,                0.00208
                     43,                 1.0421,                 1.5444,                0.66813,                0.94156,                0.54958,                 0.4052,                0.42581,                0.29408,                0.53635,                0.39502,                0.41071,                0.25493,                0.99637,                 1.2964,                0.63364,                0.86981,               0.001882,               0.001882,               0.001882
                     44,                 1.0372,                 1.5346,                0.66355,                0.94067,                0.54456,                0.40702,                0.42592,                0.29481,                0.53714,                0.39614,                0.41047,                0.25551,                0.99655,                 1.2951,                0.63382,                0.87008,               0.001684,               0.001684,               0.001684
                     45,                  1.035,                 1.5307,                0.66012,                0.93898,                 0.5519,                0.40372,                0.42617,                0.29501,                0.53848,                0.39566,                0.41085,                0.25551,                0.99679,                 1.2941,                0.63407,                0.87019,               0.001486,               0.001486,               0.001486
                     46,                 1.0303,                 1.5197,                0.65385,                0.93713,                0.56074,                0.40182,                0.42548,                0.29486,                0.54859,                0.39122,                0.40997,                0.25534,                0.99672,                 1.2932,                0.63411,                0.87025,               0.001288,               0.001288,               0.001288
                     47,                 1.0252,                  1.512,                0.64812,                0.93554,                0.56452,                0.39878,                0.42464,                0.29365,                0.55124,                0.38982,                 0.4083,                0.25384,                0.99684,                 1.2928,                0.63434,                0.87022,                0.00109,                0.00109,                0.00109
                     48,                 1.0211,                 1.5054,                 0.6429,                0.93319,                0.57322,                0.39623,                0.42453,                0.29327,                 0.5629,                0.38767,                0.40891,                0.25389,                 0.9968,                 1.2924,                0.63442,                0.87019,               0.000892,               0.000892,               0.000892
                     49,                 1.0202,                  1.502,                0.63951,                0.93262,                0.57192,                0.39683,                0.42511,                0.29355,                0.56054,                0.38879,                0.40922,                0.25347,                0.99707,                 1.2921,                0.63468,                0.87027,               0.000694,               0.000694,               0.000694
                     50,                 1.0145,                  1.491,                0.63474,                0.93117,                0.56941,                0.39755,                0.42416,                0.29283,                0.56085,                0.38821,                 0.4078,                0.25279,                 0.9973,                 1.2919,                 0.6348,                0.87035,               0.000496,               0.000496,               0.000496
